André Faro Santos ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
André Felipe Streck ,Faixa A ,Universidade de Caxias do Sul ,RS ,UCS ,SU
André Ferreira Costa Vieira ,Faixa A ,Escola de Engenharia de São Carlos ,SP ,EESC/USP ,SE
André Ferreira Leite ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
André Gustavo de Melo Araújo ,Faixa A ,Universidade de Brasília ,DF ,UnB ,CO
André Gustavo de Oliveira ,Faixa A ,Universidade Federal de Minas Gerais ,MG ,UFMG ,SE
André Luís André ,Faixa A ,Universidade Federal da Integração Latino-American ,PR ,UNILA ,SU
André Luis da Silva Castro ,Faixa A ,Instituto Federal Goiano ,GO ,IF Goiano ,CO
Andre Luis de Jesus Pereira ,Faixa A ,Universidade Federal da Grande Dourados ,MS ,UFGD ,CO
André Luiz Alencar de Mendonça ,Faixa A ,Universidade do Estado do Amazonas ,AM ,UEA ,NO
André Luiz Battaiola ,Faixa A ,Universidade Federal do Paraná ,PR ,UFPR ,SU
André Luiz da Silva ,Faixa A ,Universidade de Taubaté ,SP ,UNITAU ,SE
André Luiz Lopes Magela ,Faixa A ,Universidade Federal de São João Del-Rei ,MG ,UFSJ ,SE
Andre Luiz Saraiva de Oliveira ,Faixa A ,Universidade Federal do Rio de Janeiro ,RJ ,UFRJ ,SE
André Machado Rodrigues ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
André Maciel Crespilho ,Faixa A ,Universidade de Santo Amaro ,SP ,UNISA ,SE
André Maués Brabo Pereira ,Faixa A ,Universidade Federal Fluminense ,RJ ,UFF ,SE
André Mundstock Xavier de Carvalho ,Faixa A ,Universidade Federal de Viçosa ,MG ,UFV ,SE
André Nagalli ,Faixa A ,Universidade Tecnológica Federal do Paraná ,PR ,UTFPR ,SU
André Parmo Folloni ,Faixa A ,Pontifícia Universidade Católica do Paraná ,PR ,PUC/PR ,SU
André Pires Negrão ,Faixa A ,Universidade de São Paulo ,SP ,USP ,SE
André Quintão de Almeida ,Faixa A ,Universidade Federal de Sergipe ,SE ,UFS ,NE
André Ricardo Salata ,Faixa A ,Pontifícia Universidade Católica do Rio Grande do S ,RS ,PUCRS ,SU
André Rodrigues Guimarães ,Faixa A ,Universidade Federal do Amapá ,AP ,UNIFAP ,NO
André Soares Leopoldo ,Faixa A ,Universidade Federal do Espírito Santo ,ES ,UFES ,SE
André Tavares Corrêa Dias ,Faixa A ,Universidade do Estado do Rio de Janeiro ,RJ ,UERJ ,SE
Andrea Carvalho De Marco ,Faixa A ,Universidade Estadual Paulista Júlio de Mesquita Fil ,SP ,UNESP ,SE
Andréa Cristina Lima dos Santos Matos ,Faixa A ,Universidade Federal do Pampa ,RS ,UNIPAMPA ,SU
Andréa de Vasconcelos Freitas Pinto ,Faixa A ,Universidade Federal de Alagoas ,AL ,UFAL ,NE
Andrea Freire de Vasconcelos Eckelberg ,Faixa A ,Pontifícia Universidade Católica do Paraná ,PR ,PUC/PR ,SU
Andréa Lopes Bandeira Delmiro Santana ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Andrea Regina Nunes de Carvalho ,Faixa A ,Instituto Nacional de Tecnologia ,RJ ,INT ,SE
Andrea Tavares Dantas ,Faixa A ,Universidade Federal de Pernambuco ,PE ,UFPE ,NE
Andrea Von Groll ,Faixa A ,Universidade Federal do Rio Grande ,RS ,FURG ,SU
Andrei Moroz ,Faixa A ,Universidade Estadual Paulista Júlio de Mesquita Fil ,SP ,UNESP ,SE
Andréia Aparecida da Silva ,Faixa A ,Universidade do Sagrado Coração ,SP ,USC ,SE
Andreia Biolo ,Faixa A ,Universidade Federal do Rio Grande do Sul ,RS ,UFRGS ,SU
Andreia Bufalino ,Faixa A ,Universidade Estadual Paulista Júlio de Mesquita Fil ,SP ,UNESP ,SE
